lokacija2;kvadratura;sprat;broj_soba;parking;lift;terasa;cena
4.23096;120;1;5;1;1;1;252000
4.23096;63;2;3;1;1;1;132300
4.23096;53;3;2;1;1;1;111300
1.72232;37;0;2;0;1;1;95000
4.23096;73;0;3;1;1;1;153300
4.23096;74;3;3;1;1;1;155400
4.23096;90;0;4;1;1;1;216000
4.23096;298;5;5;1;1;1;498000
4.23096;124;3;6;1;1;1;280000
4.23096;125;1;5;1;0;1;220000
4.23096;100;7;5;1;1;1;220000
4.23096;112;1;4;1;0;1;205000
3.72306;260;3;5;1;1;1;400000
1.34658;55;23;1;1;0;1;176888
2.50798;228;4;7;0;1;1;380000
4.23096;73;3;5;1;0;1;249000
4.23096;101;3;4;1;1;1;175000
4.23096;49;0;2;0;0;0;108000
1.34658;55;3;1;1;1;1;186888
1.34658;54;8;1;1;1;1;180888
4.23096;115;2;4;1;0;1;175000
4.23096;90;3;4;0;0;1;166500
4.23096;94;3;4;1;1;0;164500
4.23096;86;2;4;0;1;1;171580
4.23096;180;2;5;0;1;1;382200
1.34658;56;21;1;1;0;1;196888
4.23096;175;5;5;1;1;1;398000
1.34658;62;13;1;1;1;1;175888
3.72306;182;3;5;0;1;0;420000
4.23096;90;3;4;0;0;1;158000
4.23096;90;3;4;0;0;1;157500
4.23096;220;1;5;1;0;1;425000
4.23096;200;2;5;1;0;1;415000
3.72306;251;4;6;1;1;1;450000
4.23096;201;3;7;0;1;1;422100
4.23096;226;4;7;1;0;1;360000
2.82883;67;0;1;0;0;1;189000
4.23096;182;3;5;0;0;0;420000
3.72306;182;4;5;0;1;1;450000
2.82883;50;1;1;0;1;1;94000
1.79241;36;2;1;0;0;1;85000
2.10787;37;4;1;1;0;1;79000
2.82883;35;0;1;0;1;0;70000
3.72306;310;4;6;1;1;1;450000
0.75072;31;0;1;0;0;0;75000
0.75072;40;0;1;0;0;0;89000
0.75072;35;11;1;0;1;0;97000
1.79241;49;0;1;0;0;0;99000
1.79241;31;0;1;0;0;0;87000
1.79241;40;0;1;0;1;1;90000
1.79241;38;0;1;0;0;0;92000
2.82883;35;0;1;0;0;0;65000
2.82883;25;0;1;0;0;0;69000
2.82883;44;14;1;0;1;1;77000
2.82883;30;0;1;0;1;1;77000
2.06858;32;0;1;0;0;0;70000
2.82883;37;1;1;0;1;1;90000
0.75072;29;0;1;0;1;0;80000
0.75072;28;5;1;1;1;0;107000
0.75072;35;3;1;0;0;1;79000
0.75072;28;3;1;0;0;0;99000
2.82883;50;17;1;1;1;1;89000
2.06858;25;5;1;0;1;1;68000
2.06858;30;-1;1;0;0;0;59900
2.06858;30;1;1;0;1;1;60000
0.75072;31;0;1;0;0;1;95000
0.75072;35;0;1;0;0;0;113000
2.82883;23;1;1;0;0;0;50000
2.82883;23;1;1;0;0;0;50000
0.75072;32;0;1;0;1;0;60000
0.75072;32;0;1;0;1;0;60000
0.75072;32;1;1;0;1;1;102400
0.75072;44;6;1;0;1;0;110000
1.79241;35;0;1;0;0;0;65000
1.72232;24;0;1;0;0;0;57000
1.79241;23;0;1;0;0;0;48000
0.75072;20;1;1;0;1;1;100000
2.82883;50;1;1;0;1;1;94000
2.82883;37;1;1;0;1;1;98000
2.82883;50;1;1;0;1;1;94000
0.75072;23;3;1;0;1;0;75000
0.34884;37;1;1;0;1;1;104900
4.23096;89;2;4;1;1;1;165000
1.72232;21;0;1;0;0;0;67500
1.72232;24;0;1;0;0;0;59999
1.72232;24;-1;1;0;0;0;44880
1.72232;26;-1;1;0;0;0;60000
3.72306;148;4;5;1;1;1;415000
3.72306;260;3;5;1;1;1;400000
0.34884;32;1;1;0;1;1;93000
0.34884;30;10;1;0;1;0;105000
0.34884;23;10;1;0;1;0;105000
1.72232;30;0;1;0;0;0;77000
0.34884;28;4;1;0;1;1;115000
2.28401;23;1;1;0;0;0;50000
1.72232;25;0;1;0;0;0;75000
3.72306;182;3;5;1;1;0;420000
0.34884;25;1;1;0;1;1;87000
4.29517;65;1;3;0;0;1;63000
2.82883;95;3;3;0;0;1;171000
1.72232;30;1;1;0;1;0;87000
2.28401;37;0;2;0;0;0;50000
1.72232;30;1;1;0;0;0;90000
3.4153;98;1;3;0;0;1;270000
2.28401;26;0;1;0;0;0;47000
2.28401;24;0;1;0;0;0;57000
2.28401;23;1;1;0;0;0;50000
2.28401;24;0;1;0;0;0;57000
1.72232;66;-1;1;0;0;0;85800
0.34689;35;0;1;0;0;0;113000
4.29517;84;2;3;0;0;0;70000
4.29517;80;3;3;1;0;0;60000
4.29517;55;3;3;0;0;0;55000
4.29517;85;1;3;1;0;1;61500
2.82883;81;2;3;0;1;1;156000
4.3084;96;6;3;0;1;1;295000
1.72232;40;0;1;0;1;0;105000
2.28401;26;0;2;0;0;0;65000
