Grad;"Broj oglasa"
Beograd;47751
"Novi Sad";27580
Nis;7421
Kragujevac;3404
Subotica;1842
Zrenjanin;1426
Jagodina;1104
Zlatibor;1046
"Vrnjacka Banja";812
Paracin;683
Pancevo;517
Sombor;443
Indjija;331
Cuprija;309
Krusevac;302
Srbija;279
Kraljevo;247
Sabac;217
"Stara Pazova";181
Petrovaradin;178
"Sremska Kamenica";176
Zajecar;170
Kopaonik;164
Ruma;155
"Kosovska Mitrovica";134
Beocin;120
Smederevo;115
Irig;115
Vranje;108
Leskovac;108
"Sremski Karlovci";107
Valjevo;105
Podgorica;103
Prijepolje;98
"Sremska Mitrovica";90
Arandjelovac;89
Budva;86
Svilajnac;84
Sokobanja;78
Kovin;75
Cacak;70
Veternik;67
"Smederevska Palanka";67
Vrbas;63
Uzice;61
Temerin;61
Loznica;56
"Backa Palanka";54
Negotin;54
Kovacica;52
Tivat;46
Srbobran;44
Ub;44
Pecinci;42
Aleksinac;41
Vrsac;38
Zabalj;37
"Gornji Milanovac";37
"Novi Banovci";36
Kikinda;34
Trstenik;33
Pozarevac;32
Mionica;32
Titel;31
"Velika Plana";31
Sid;30
Topola;30
"Backa Topola";30
Apatin;28
"Veliko Gradiste";26
Becej;26
"Bajina Basta";24
Prokuplje;23
Bar;22
"Nova Varos";22
"Herceg Novi";21
Tara;21
Kotor;20
Alibunar;20
Vladimirci;20
Batocina;19
Pirot;17
Knic;17
Cajetina;17
"Novi Knezevac";17
Obrenovac;16
Zitiste;16
Golubac;16
Secanj;16
Bogatic;15
"Vladicin Han";14
"Bela Crkva";14
Rekovac;13
Knjazevac;13
Kac;12
Beska;12
"Fruska Gora";12
Kanjiza;11
Pozega;11
"Novi Becej";11
Despotovac;10
"Backi Petrovac";10
Ljig;10
Kula;10
Bor;10
Futog;9
Opovo;9
"Mladenovac (varos)";9
Rumenka;9
"Mali Zvornik";9
Doljevac;9
Arilje;9
"Nova Crnja";9
Odzaci;9
Cicevac;8
Bujanovac;8
"Bosna i Hercegovina";8
Majdanpek;8
Lapovo;8
"Nova Pazova";7
Varvarin;7
Vrdnik;7
Plandiste;7
"Petrovac na Mlavi";7
Kursumlija;7
Koceljeva;7
Cortanovci;6
Becici;6
Bac;6
Ljubovija;6
Raska;6
Priboj;6
"Novi Pazar";6
Vlasotince;6
Merosina;6
Lazarevac;5
Divcibare;5
Cerevic;5
Hrvatska;5
Cenej;5
Raca;5
Ulcinj;4
Sopot;4
Kladovo;4
Palic;4
Krasici;4
"Novi Slankamen";4
"Stari Banovci";4
Krcedin;4
Coka;4
Zabari;4
Zlatar;4
Ivanjica;4
Lucani;4
Surdulica;4
Sjenica;4
Ledinci;3
"Katun Rezevici";3
Meljak;3
Ripanj;3
Begec;3
Risan;3
Perast;3
Starcevo;3
Deliblato;3
Belegis;3
Trgoviste;3
Boljevac;3
Svrljig;3
Medvedja;3
Lebane;3
Blace;3
Orahovac;3
Aleksandrovac;3
Osecina;3
"Gadzin Han";3
Lajkovac;3
Blizikuce;2
Golubinje;2
Sutomore;2
"Topola (varosica)";2
Ritopek;2
Jarkovac;2
Dobanovci;2
Zvecka;2
"Banja Vrujci";2
;2
"Novo Selo";2
"Donji Stoliv";2
Jazak;2
"Sveti Stefan";2
Bukovac;2
"Donji Orahovac";2
Takovo;2
Jelasnica;2
Baosici;2
"Ravno Selo";2
Senta;2
Jabucje;2
Bozdarevac;2
Dobrota;2
Igalo;2
Visnjicevo;2
"Banja Koviljaca";2
Surduk;2
Rakovac;2
"Selo Kostolac";2
Zabljak;2
Ralja;2
"Niska Banja";2
Grocka;2
Przno;2
"Donji Milanovac";2
Curug;2
Mramorak;2
Skupljen;2
Brzece;2
Kosjeric;2
Dimitrovgrad;2
Djakovica;2
Bojnik;2
"Mali Idjos";2
Dragas;2
"Backo Gradiste";1
Supetar;1
Lipova;1
Medosevac;1
Lazarica;1
Doroslovo;1
Crepaja;1
Dolovo;1
Azanja;1
"Donja Raca";1
"Lajkovac (varos)";1
Simanovci;1
Rogaca;1
Kumbor;1
Konatice;1
Vlaska;1
Danilovgrad;1
Ljubinic;1
Ecka;1
Kisac;1
Becmen;1
Stubline;1
Milesevo;1
"Backi Monostor";1
Brodarevo;1
Vranovo;1
Trebinje;1
Dec;1
Ivanovo;1
Majur;1
"Rijeka Rezevici";1
Bovan;1
Stojnik;1
"Crna Gora";1
Osipaonica;1
Plijesevina;1
Vrsar;1
Melenci;1
Guncati;1
"Banatski Karlovac";1
Centa;1
Susanj;1
Bosilegrad;1
Bigova;1
Ugrinovci;1
Bijela;1
Crvenka;1
Markovici;1
Sutorina;1
"Velika Krsna";1
Krimovica;1
Bacevac;1
Baric;1
Trupale;1
"Guca (varosica)";1
Ladjevci;1
Kovilj;1
Lisovic;1
Vracevsnica;1
Niksic;1
Vencane;1
Ivanje;1
"Velika Mostanica";1
Lesnica;1
Brus;1
Vrcin;1
Lipovica;1
Zitkovac;1
Misicevo;1
Selevac;1
Grcka;1
Mosorin;1
"Mali Pozarevac";1
Gaj;1
Bukovik;1
Zalug;1
Bogutovac;1
Kljajicevo;1
Trbusac;1
Pljevlja;1
Banostor;1
Bavaniste;1
"Krusedol Prnjavor";1
"Krusedol Selo";1
Lacarak;1
"Banatsko Novo Selo";1
Nisevac;1
"Osecina (selo)";1
Visegrad;1
"Rijeka Crnojevica";1
Mramor;1
"Tara (planina)";1
Utrg;1
Sivac;1
Vojka;1
"Ribarska Banja";1
Boboviste;1
Nikinci;1
Koracica;1
Boljevci;1
Pastric;1
Belanovica;1
"Stari Ledinci";1
Zelenika;1
Ribnica;1
Vodice;1
"Sveta Nedelja";1
"Donje Vlase";1
Aleksandrovo;1
"Stubicke Toplice";1
Kusici;1
Popinci;1
Bolec;1
Perlez;1
Kamenica;1
Jabuka;1
Sasinci;1
Botos;1
Vrbovno;1
Karlovcic;1
Kukujevci;1
Osijek;1
Kozjak;1
"Dobra Voda";1
Perucac;1
Slovenija;1
Golubinci;1
Beljina;1
Timar;1
Carina;1
Radovici;1
"Petrovac na Moru";1
Bosiljevo;1
Karadjordjevo;1
Zitoradja;1
"Crna Trava";1
Ada;1
"Malo Crnice";1
"Kosovo Polje";1
Kucevo;1
Krupanj;1
