Rang;Kuca(€);Stan(€)
1;15000000;4000000
2;15000000;3434432
3;15000000;2981276
4;5850000;2500000
5;5500000;1974500
6;5500000;1824260
7;5500000;1824260
8;5500000;1750000
9;5500000;1699000
10;5500000;1699000
11;5500000;1650000
12;5200000;1601951
13;5200000;1589616
14;5200000;1586592
15;5000000;1552656
16;4999999;1552656
17;4888020;1546695
18;4650000;1546695
19;4650000;1545505
20;4500000;1532692
21;4500000;1523781
22;4500000;1510280
23;4500000;1510280
24;4500000;1506892
25;4500000;1501665
26;4500000;1501388
27;4500000;1500000
28;4500000;1500000
29;4100000;1500000
30;4100000;1500000
