Rang;Cena
1;1974500
2;1824260
3;1510280
4;1418400
5;1361040
6;1280000
7;960888
8;955888
9;850000
10;816400
11;684500
12;656888
13;656850
14;600440
15;553888
16;539000
17;520000
18;504000
19;504000
20;500000
21;500000
22;500000
23;499000
24;483900
25;480000
26;479888
27;473220
28;471240
29;467500
30;465640
31;465000
32;464000
33;461218
34;460000
35;451000
36;450000
37;449000
38;437400
39;422940
40;420888
41;420000
42;419900
43;403000
44;401700
45;399958
46;399000
47;398000
48;390000
49;387888
50;384000
51;382888
52;380011
53;380000
54;378840
55;378840
56;370888
57;365000
58;364000
59;360500
60;357420
61;355000
62;351000
63;350000
64;350000
65;350000
66;350000
67;349250
68;341011
69;341000
70;341000
71;338888
72;337500
73;331000
74;330000
75;320300
76;318980
77;318725
78;318000
79;313888
80;310000
81;308750
82;305000
83;294250
84;291537
85;289000
86;289000
87;288400
88;288400
89;288300
90;285888
91;285000
92;282450
93;280000
94;280000
95;277200
96;277200
97;276888
98;273471
99;270112
100;264000
101;259000
102;255208
103;254000
104;252500
105;252500
106;251750
107;250800
108;250000
109;250000
110;250000
111;250000
112;249900
113;249900
114;249100
115;248000
116;247500
117;247220
118;245050
119;244888
120;243320
121;243000
122;242900
123;242900
124;242095
125;242050
126;242050
127;242050
128;242050
129;242050
130;242050
131;242050
132;242050
133;242050
134;242050
135;242050
136;242050
137;242050
138;242000
139;239200
140;239000
141;236900
142;235600
143;235400
144;235000
145;235000
146;235000
147;235000
148;234500
149;233650
150;231750
151;230550
152;230000
153;230000
154;230000
155;229888
156;229000
157;228200
158;228200
159;228000
160;228000
161;228000
162;225500
163;222950
164;222750
165;221760
166;221500
167;221500
168;220888
169;220800
170;220000
171;220000
172;220000
173;215000
174;215000
175;215000
176;215000
177;215000
178;210900
179;210048
180;210000
181;210000
182;210000
183;209600
184;209500
185;207500
186;207000
187;205000
188;203900
189;203000
190;202200
191;201300
192;201300
193;200700
194;200000
195;200000
196;200000
197;200000
198;199820
199;198898
200;198000
201;197600
202;197600
203;196200
204;196200
205;195700
206;195000
207;195000
208;194900
209;194554
210;194554
211;194425
212;194200
213;194200
214;194040
215;193900
216;192000
217;191900
218;191200
219;191180
220;191000
