Rang;"Broj soba";Kvadratura(m2);"Povrsina zemljista(m2)"
1;24;6500;10000000
2;21;4000;3265300
3;20;4000;3129000
4;20;3300;2220000
5;20;3300;2100000
6;20;3002;1652000
7;20;2400;1512200
8;20;1973;1500000
9;20;1966;1350000
10;20;1643;1300000
11;20;1200;1160000
12;20;1200;1156200
13;20;1080;1100000
14;20;1080;1000000
15;19;1000;1000000
16;18;970;1000000
17;18;937;920000
18;18;832;800000
19;18;824;750000
20;18;782;750000
21;17;740;750000
22;17;669;742300
23;17;658;615000
24;17;658;600000
25;16;650;600000
26;16;640;588000
27;16;640;588000
28;16;640;580000
29;16;640;560000
30;16;611;548800
